avg_loss	tokens
2.546875	155
2.53125	151
2.53125	176
2.5625	130
2.546875	146
2.53125	176
2.484375	176
2.453125	171
2.4375	199
2.4375	128
2.4375	150
2.375	194
2.359375	163
2.40625	132
2.390625	150
2.390625	173
2.359375	155
2.34375	139
2.3125	157
2.34375	127
2.34375	168
2.3125	232
2.328125	205
2.296875	151
2.34375	137
2.3125	159
2.3125	148
2.328125	135
2.328125	173
2.34375	156
2.296875	154
2.3125	135
2.296875	131
2.328125	177
2.34375	143
2.328125	187
2.28125	129
2.296875	142
2.328125	153
2.296875	174
2.3125	174
2.3125	147
2.3125	166
2.3125	178
2.3125	206
2.28125	140
2.3125	150
2.3125	171
2.296875	165
2.3125	160
2.328125	179
2.3125	181
2.3125	197
2.28125	155
2.3125	166
2.328125	174
2.34375	156
2.3125	196
2.296875	157
2.296875	155
2.296875	155
2.3125	201
2.28125	171
2.328125	194
2.34375	171
2.3125	155
2.296875	97
2.3125	166
2.3125	180
2.359375	161
2.328125	215
2.34375	143
2.34375	173
2.34375	156
2.34375	173
2.3125	126
2.328125	191
2.328125	180
2.328125	154
2.296875	145
2.3125	180
2.296875	177
2.296875	200
2.328125	196
2.296875	161
2.34375	159
2.3125	177
2.28125	145
2.3125	139
2.28125	140
2.3125	133
2.3125	153
2.328125	162
2.328125	203
2.296875	153
2.296875	202
2.328125	163
2.28125	178
2.328125	141
2.296875	141
